Idno,Year,Month,FIPS,Locality,HouseholdsServed,IndividualsServed,PoundsFoodDistributed,childserevedNFNP,PoundsfoodNFNP,Latitude,Longitude,MTWStatus,Geopoint
1412,2020,May,109.0,Louisa County,1191.0,2292.0,39978.0,0.0,0.0,37.9716808,-77.9591779,Matching and updated,POINT (-77.9591779 37.9716808)
1413,2020,September,49.0,Cumberland County,798.0,1214.0,50151.0,0.0,0.0,37.5201891,-78.2528364,Matching and updated,POINT (-78.2528364 37.5201891)
1414,2020,January,510.0,Alexandria City,908.0,2971.0,75143.5457534246,0.0,12305.0,38.8183429,-77.0820263,Matching and updated,POINT (-77.0820263 38.8183429)
1415,2020,July,690.0,Martinsville City,248.0,3031.0,11611.33,0.0,0.0,36.6835269,-79.8636475,Matching and updated,POINT (-79.8636475 36.6835269)
1416,2019,January,171.0,Shenandoah County,871.0,2272.0,90335.54,0.0,0.0,38.856204,-78.5739867,Matching and updated,POINT (-78.5739867 38.856204)
1417,2019,July,199.0,York County,336.0,1015.0,47329.0,0.0,0.0,37.2209139,-76.395533,Matching and updated,POINT (-76.395533 37.2209139)
1418,2019,October,77.0,Grayson County,811.0,2300.0,25712.48,0.0,0.0,36.6563026,-81.2253365,Matching and updated,POINT (-81.2253365 36.6563026)
1419,2019,January,770.0,Roanoke City,5236.0,24090.0,307466.95,1305.0,11689.0,37.2778301,-79.9584716,Matching and updated,POINT (-79.9584716 37.2778301)
1420,2019,April,167.0,Russell County,1110.0,2464.0,29528.02,0.0,0.0,36.9334198,-82.0959342,Matching and updated,POINT (-82.0959342 36.9334198)
1421,2021,April,3.0,Albemarle County,1787.0,4413.0,178119.28,55.0,1227.0,38.0241841,-78.5535056,Matching and updated,POINT (-78.5535056 38.0241841)
1422,2019,December,19.0,BEDFORD COUNTY,494.0,2174.0,22527.63,0.0,0.0,37.3124079,-79.5279466,Matching and updated,POINT (-79.5279466 37.3124079)
1423,2020,December,37.0,Charlotte County,808.0,1456.0,16894.0,0.0,0.0,37.0140909,-78.661424,Matching and updated,POINT (-78.661424 37.0140909)
1424,2020,May,153.0,Prince William County,52.0,172.0,74688.0,0.0,0.0,38.7011187,-77.4795791,Matching and updated,POINT (-77.4795791 38.7011187)
1425,2020,September,97.0,King and Queen,908.0,2971.0,104177.0,0.0,0.0,37.7143698,-76.901863,Non-matching,POINT (-76.901863 37.7143698)
1426,2019,October,61.0,Fauquier County,673.0,1515.0,42593.54,0.0,0.0,38.7441032,-77.8215847,Matching and updated,POINT (-77.8215847 38.7441032)
1427,2019,September,131.0,Northampton County,273.0,550.0,16069.0,0.0,0.0,37.3026286,-75.9238683,Matching and updated,POINT (-75.9238683 37.3026286)
1428,2021,March,660.0,Harrisonburg City,1786.0,7094.0,203767.31,270.0,40296.0,38.4316694,-78.8760274,Matching and updated,POINT (-78.8760274 38.4316694)
1429,2020,September,145.0,Powhatan County,115.0,1191.0,97641.0,0.0,0.0,37.5494041,-77.9128553,Matching and updated,POINT (-77.9128553 37.5494041)
1430,2020,October,580.0,Covington City,385.0,1433.0,53332.37,0.0,0.0,37.7781426,-79.986039,Matching and updated,POINT (-79.986039 37.7781426)
1431,2021,January,119.0,Middlesex County,505.0,825.0,9775.0,0.0,0.0,37.6069753,-76.5280819,Matching and updated,POINT (-76.5280819 37.6069753)
1432,2019,June,169.0,Scott County,666.0,1382.0,27067.2,0.0,0.0,36.7127783,-82.6136268,Matching and updated,POINT (-82.6136268 36.7127783)
1433,2021,April,595.0,Emporia City,21.0,31.0,20914.0,0.0,0.0,36.696182,-77.5359753,Matching and updated,POINT (-77.5359753 36.696182)
1434,2021,June,167.0,Russell County,721.0,2002.0,39128.06,0.0,0.0,36.9334198,-82.0959342,Matching and updated,POINT (-82.0959342 36.9334198)
1435,2019,December,595.0,Emporia City,0.0,0.0,0.0,0.0,0.0,36.696182,-77.5359753,Matching and updated,POINT (-77.5359753 36.696182)
1436,2020,December,510.0,Alexandria City,908.0,2971.0,219785.43840075,0.0,23464.0,38.8183429,-77.0820263,Matching and updated,POINT (-77.0820263 38.8183429)
1437,2019,July,595.0,Emporia City,118.0,178.0,18924.0,0.0,0.0,36.696182,-77.5359753,Matching and updated,POINT (-77.5359753 36.696182)
1438,2020,June,57.0,Essex County,32.0,85.0,74688.0,0.0,0.0,37.9394802,-76.9418713,Matching and updated,POINT (-76.9418713 37.9394802)
1439,2019,August,175.0,Southampton County,580.0,1301.0,21412.0,0.0,0.0,36.7201725,-77.1038556,Matching and updated,POINT (-77.1038556 36.7201725)
1440,2019,February,181.0,Surry County,72.0,150.0,30915.0,0.0,0.0,37.1197611,-76.8801717,Matching and updated,POINT (-76.8801717 37.1197611)
1441,2021,June,173.0,Smyth County,412.0,1163.0,138578.98,0.0,0.0,36.8423183,-81.5397861,Matching and updated,POINT (-81.5397861 36.8423183)
1442,2019,December,163.0,Rockbridge County,2422.0,2817.0,14814.51,0.0,0.0,37.8145174,-79.4477537,Matching and updated,POINT (-79.4477537 37.8145174)
1443,2019,July,27.0,Buchanan County,1265.0,3074.0,77988.1,0.0,0.0,37.2681198,-82.0381508,Matching and updated,POINT (-82.0381508 37.2681198)
1444,2019,June,630.0,Fredericksburg City,682.0,1651.0,47399.0,475.0,1160.0,38.2992718,-77.4866583,Matching and updated,POINT (-77.4866583 38.2992718)
1445,2019,September,117.0,Mecklenburg County,1243.0,2514.0,14510.0,0.0,0.0,36.6872563,-78.3689592,Matching and updated,POINT (-78.3689592 36.6872563)
1446,2019,January,105.0,Lee County,623.0,490.0,30128.2,0.0,0.0,36.7017206,-83.1301117,Matching and updated,POINT (-83.1301117 36.7017206)
1447,2019,December,139.0,PAGE COUNTY,416.0,806.0,24047.82,0.0,0.0,38.6237508,-78.4904708,Matching and updated,POINT (-78.4904708 38.6237508)
1448,2019,February,760.0,Richmond City,4.0,6.0,74688.0,0.0,0.0,37.531399,-77.4760085,Matching and updated,POINT (-77.4760085 37.531399)
1449,2019,January,79.0,Greene County,332.0,866.0,38189.25,53.0,980.0,38.2979805,-78.4701629,Matching and updated,POINT (-78.4701629 38.2979805)
1450,2019,June,840.0,Winchester City,2372.0,7428.0,123381.33,0.0,6186.0,39.1738688,-78.1763562,Matching and updated,POINT (-78.1763562 39.1738688)
1451,2019,March,47.0,Culpeper County,628.0,1688.0,25430.54,0.0,0.0,38.4859303,-77.9564758,Matching and updated,POINT (-77.9564758 38.4859303)
1452,2019,August,97.0,King and Queen County,0.0,1635.0,0.0,0.0,0.0,37.7143698,-76.901863,Matching and updated,POINT (-76.901863 37.7143698)
